key,species,phylum,count,
FC,NA,NA,1,
SU,NA,NA,25,
DN,NA,NA,28,
DE,NA,NA,30,
BP,NA,NA,44,bryozoan_flat
LF,NA,NA,77,horse_clam
NA.,NA,NA,82,tube_dwell_anemone
LA,NA,NA,96,sponge_erect
BB,NA,NA,110,sponge_flat
DG,NA,NA,112,red_sea_cucumber
AL,NA,NA,118,green_urchin
GH,NA,NA,191,pycnopodia
OP,NA,NA,197,orange_cuke
BF,NA,NA,502,cup_coral
LG,NA,NA,562,abalone
RH,NA,NA,1418,red_urchin
EN,NA,NA,1514,geoduck
RB,NA,NA,4093,bryozoan_erect
RF,NA,NA,4423,gian_plumose
