key,species,phylum,count
AL,NA,NA,118
BB,NA,NA,110
BF,NA,NA,502
BP,NA,NA,44
DE,NA,NA,30
DG,NA,NA,112
DN,NA,NA,28
EN,NA,NA,1514
FC,NA,NA,1
GH,NA,NA,191
LA,NA,NA,96
LF,NA,NA,77
LG,NA,NA,562
NA.,NA,NA,82
OP,NA,NA,197
RB,NA,NA,4093
RF,NA,NA,4423
RH,NA,NA,1418
SU,NA,NA,25
